voxel,x,y,z,vision_target_correlation,vision_target_r2,vision_tuning_r2,visual_cortex,early_visual,higher_visual,V1,V2,V3,V4,imagery_target_correlation,imagery_target_r2,imagery_tuning_r2,vision_minus_imagery_target_r2,vision_minus_imagery_target_correlation
87,14,22,50,0.33651645499816546,-0.3482759068921679,0.11324332448453232,True,False,True,False,False,False,False,0.07748611705713246,-1.3872008097864854,0.006004098336591634,1.0389249028943175,0.25903033794103303
88,14,22,51,0.4962507124904681,-1.71029299322963,0.24626476964729724,True,False,True,False,False,False,False,0.3083626001157085,-2.351380242779634,0.09508749315012034,0.641087249550004,0.1878881123747596
89,14,23,43,0.33906318615579756,-0.2095750107008283,0.11496384420612103,True,False,True,False,False,False,False,0.15196407501154333,-0.8529139515322055,0.023093080094113965,0.6433389408313772,0.18709911114425423
90,14,23,44,-0.1245791644055831,-0.30747992471090635,0.015519968203993303,True,False,True,False,False,False,False,0.1321447534034893,-0.28439003619535597,0.017462235852068998,-0.023089888515550383,-0.2567239178090724
91,14,23,46,0.45508203503821876,-0.5514290563087076,0.20709965861452656,True,False,True,False,False,False,False,0.1613331567296333,-1.9167056151991981,0.026028387460348423,1.3652765588904905,0.2937488783085854
92,14,23,47,-0.24565936522489118,-1.0443154875996474,0.06034852372269647,True,False,True,False,False,False,False,-0.0031793173112047157,-0.5842431340353058,1.0108058565325983e-05,-0.4600723535643416,-0.24248004791368646
93,14,23,49,0.12593233612135318,-3.591538172563517,0.015858953280981476,True,False,True,False,False,False,False,0.15588663757943846,-8.84897415230869,0.024300643775823198,5.257435979745173,-0.02995430145808528
94,14,23,50,0.6501704183031074,0.0009451267196761703,0.42272157283643763,True,False,True,False,False,False,False,0.4318481372771363,-0.7876052172059107,0.18649281366973233,0.7885503439255869,0.21832228102597112
95,14,23,51,0.21996491368926072,-1.157736020564709,0.048384563254323915,True,False,True,False,False,False,False,-0.0498087974517528,-3.9072835114657947,0.002480916303589736,2.7495474909010857,0.2697737111410135
96,14,23,52,0.16419514018411227,-2.15081029637431,0.02696004406008028,True,False,True,False,False,False,False,0.10227636552203365,-2.7598440050213746,0.010460454944396633,0.6090337086470647,0.061918774662078624
97,14,24,43,0.12312047214836172,-1.225365348869,0.015158650662035514,True,False,True,False,False,False,False,0.12109585502242913,-5.79478637913845,0.014664206103613174,4.569421030269449,0.00202461712593259
98,14,24,44,-0.405939429245,-2.620094972220477,0.16478682021575636,True,False,True,False,False,False,False,0.05317715284245856,-5.880346301720146,0.0028278095844301984,3.260251329499669,-0.45911658208745854
99,14,24,45,0.1872745199485305,-9.677527802137538,0.03507174582195255,True,False,True,False,False,False,False,0.2576930143660639,-15.451149677039833,0.06640568965306841,5.773621874902295,-0.0704184944175334
100,14,24,46,0.11526977039622299,-1.7335182827636442,0.013287119967197966,True,False,True,False,False,False,False,0.4384348495293095,-11.741003049781611,0.19222511728178826,10.007484767017967,-0.3231650791330865
101,14,24,47,0.06017755958017924,-0.7272329746991026,0.0036213386770260225,True,False,True,False,False,False,False,-0.003631493586078155,-4.821642495689796,1.3187745665726779e-05,4.094409520990693,0.0638090531662574
102,14,24,48,0.005333514957623523,-1.4237008125476067,2.8446381803193853e-05,True,False,True,False,False,False,False,0.3495563631074025,-1.3263555370529403,0.12218965098887423,-0.09734527549466643,-0.344222848149779
103,14,24,49,-0.3261005212209869,-1.9748516694993405,0.10634154994059934,True,False,True,False,False,False,False,0.5968713889608493,-0.018587886408395038,0.3562554549600535,-1.9562637830909455,-0.9229719101818363
104,14,24,50,-0.045162915649872064,-0.9114455295347947,0.002039688949997459,True,False,True,False,False,False,False,0.17544227401769016,-2.038759916180188,0.03077999151249828,1.1273143866453932,-0.22060518966756223
105,14,24,51,-0.24109810464790635,-1.161333271056002,0.0581282960648128,True,False,True,False,False,False,False,0.16871416446295115,-0.9413262390833275,0.02846446929043173,-0.22000703197267457,-0.4098122691108575
106,14,25,43,0.39280619208449535,0.10207809901468345,0.15429670453992145,True,False,True,False,False,False,False,0.1828246153178685,-0.6635801726803587,0.0334248399661266,0.7656582716950422,0.20998157676662685
