subject,phase,stimulus_set,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
3,validation,A,ventral,visual_streams,0.5928571428571429,0.0964285714285714,0.002777777777777778,0.309090909090909,0.5878787878787879,0.8303030303030302
3,validation,A,ventral,dorsal_parietal,0.3535714285714286,0.25,0.15416666666666667,0.10303030303030303,0.4181818181818181,0.4787878787878787
3,validation,A,lateral,early,0.23214285714285715,0.3607142857142856,0.24444444444444444,0.01818181818181818,0.20606060606060606,0.4424242424242424
3,validation,A,lateral,ventral,0.35714285714285715,0.06428571428571428,0.14583333333333334,0.12727272727272726,0.2909090909090909,0.6727272727272726
3,validation,A,lateral,lateral,0.14285714285714285,-0.05357142857142857,0.3055555555555556,-0.16363636363636364,0.16969696969696968,0.33333333333333326
3,validation,A,lateral,midparietal,0.1392857142857143,0.2571428571428571,0.3125,-0.1515151515151515,0.07878787878787878,0.49090909090909085
3,validation,A,lateral,parietal,0.41785714285714287,0.3321428571428571,0.1125,0.16363636363636364,0.37575757575757573,0.6969696969696969
3,validation,A,lateral,visual_streams,0.2714285714285714,0.07857142857142857,0.1736111111111111,0.10303030303030303,0.23636363636363636,0.5272727272727272
3,validation,A,lateral,dorsal_parietal,0.5107142857142857,0.39642857142857135,0.05416666666666667,0.28484848484848485,0.5030303030303029,0.7575757575757575
3,validation,A,midparietal,early,0.48214285714285715,0.6035714285714285,0.03888888888888889,0.23636363636363633,0.4727272727272727,0.6242424242424242
3,validation,A,midparietal,ventral,0.2571428571428571,0.20357142857142854,0.1986111111111111,0.01818181818181818,0.28484848484848485,0.5636363636363636
3,validation,A,midparietal,lateral,0.6142857142857143,0.3107142857142856,0.001388888888888889,0.309090909090909,0.6909090909090909,0.7333333333333332
3,validation,A,midparietal,midparietal,0.18214285714285713,0.3571428571428571,0.2847222222222222,-0.04242424242424241,0.13939393939393938,0.3939393939393939
3,validation,A,midparietal,parietal,0.26071428571428573,0.2071428571428571,0.18333333333333332,0.01818181818181818,0.24242424242424243,0.6363636363636362
3,validation,A,midparietal,visual_streams,0.7285714285714285,0.46071428571428563,0.002777777777777778,0.5878787878787878,0.7333333333333332,0.8303030303030302
3,validation,A,midparietal,dorsal_parietal,0.25357142857142856,0.2964285714285714,0.20555555555555555,-0.07878787878787878,0.24848484848484848,0.5272727272727272
3,validation,A,parietal,early,0.325,0.7035714285714285,0.15555555555555556,0.10303030303030303,0.2666666666666666,0.5757575757575757
3,validation,A,parietal,ventral,0.375,0.2571428571428571,0.1111111111111111,0.10303030303030303,0.4121212121212121,0.7575757575757575
3,validation,A,parietal,lateral,0.6178571428571429,0.22499999999999998,0.001388888888888889,0.41818181818181815,0.5939393939393939,0.8303030303030302
