subject,phase,stimulus_set,task,roi,rdm_reliability,reliability_method
6,validation,B,imagery,midparietal,-0.24285714285714283,independent imagery runs
6,validation,A,vision,parietal,-0.06607142857142856,balanced random repeat halves
6,validation,A,imagery,parietal,0.11785714285714284,independent imagery runs
6,validation,B,vision,parietal,0.007142857142857142,balanced random repeat halves
6,validation,B,imagery,parietal,-0.039285714285714285,independent imagery runs
6,validation,A,vision,visual_streams,-0.1464285714285714,balanced random repeat halves
6,validation,A,imagery,visual_streams,0.17857142857142855,independent imagery runs
6,validation,B,vision,visual_streams,0.0982142857142857,balanced random repeat halves
6,validation,B,imagery,visual_streams,-0.23928571428571427,independent imagery runs
6,validation,A,vision,dorsal_parietal,-0.12142857142857141,balanced random repeat halves
6,validation,A,imagery,dorsal_parietal,0.11785714285714284,independent imagery runs
6,validation,B,vision,dorsal_parietal,0.04285714285714285,balanced random repeat halves
6,validation,B,imagery,dorsal_parietal,0.12142857142857141,independent imagery runs
7,validation,A,vision,early,0.4535714285714285,balanced random repeat halves
7,validation,A,imagery,early,-0.13214285714285715,independent imagery runs
7,validation,B,vision,early,0.051785714285714275,balanced random repeat halves
7,validation,B,imagery,early,0.1928571428571428,independent imagery runs
7,validation,A,vision,ventral,-0.1089285714285714,balanced random repeat halves
7,validation,A,imagery,ventral,-0.2607142857142857,independent imagery runs
7,validation,B,vision,ventral,0.2178571428571428,balanced random repeat halves
7,validation,B,imagery,ventral,-0.4035714285714285,independent imagery runs
7,validation,A,vision,lateral,-0.1089285714285714,balanced random repeat halves
7,validation,A,imagery,lateral,-0.15357142857142855,independent imagery runs
7,validation,B,vision,lateral,0.12857142857142856,balanced random repeat halves
7,validation,B,imagery,lateral,-0.3071428571428571,independent imagery runs
7,validation,A,vision,midparietal,-0.08928571428571427,balanced random repeat halves
7,validation,A,imagery,midparietal,-0.46071428571428563,independent imagery runs
7,validation,B,vision,midparietal,0.14107142857142857,balanced random repeat halves
7,validation,B,imagery,midparietal,-0.4428571428571427,independent imagery runs
7,validation,A,vision,parietal,0.02321428571428571,balanced random repeat halves
7,validation,A,imagery,parietal,-0.37857142857142856,independent imagery runs
7,validation,B,vision,parietal,0.30178571428571427,balanced random repeat halves
7,validation,B,imagery,parietal,-0.39999999999999997,independent imagery runs
7,validation,A,vision,visual_streams,0.010714285714285711,balanced random repeat halves
7,validation,A,imagery,visual_streams,-0.3321428571428571,independent imagery runs
7,validation,B,vision,visual_streams,0.18928571428571425,balanced random repeat halves
7,validation,B,imagery,visual_streams,-0.12857142857142856,independent imagery runs
7,validation,A,vision,dorsal_parietal,-0.11964285714285713,balanced random repeat halves
7,validation,A,imagery,dorsal_parietal,-0.3857142857142856,independent imagery runs
7,validation,B,vision,dorsal_parietal,0.1839285714285714,balanced random repeat halves
