subject,phase,stimulus_set,comparison,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
3,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,-0.20714285714285716,-0.22499999999999998,0.7166666666666667,-0.7939393939393938,-0.18787878787878787,0.11515151515151514
4,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.16071428571428573,-0.22142857142857136,0.30972222222222223,-0.04242424242424241,0.07878787878787878,0.5272727272727272
4,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.4928571428571429,0.14285714285714282,0.06944444444444445,0.34545454545454546,0.49090909090909085,0.6242424242424242
5,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.5928571428571429,-0.22142857142857136,0.03888888888888889,0.28484848484848485,0.5515151515151515,0.7696969696969697
5,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.14642857142857144,0.075,0.31527777777777777,-0.05454545454545454,0.1393939393939394,0.33333333333333326
6,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,-0.125,-0.09999999999999999,0.6611111111111111,-0.28484848484848485,-0.17575757575757572,0.24848484848484845
6,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.8535714285714285,0.4928571428571427,0.002777777777777778,0.7939393939393938,0.8545454545454544,0.9030303030303028
7,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.20714285714285716,-0.5214285714285714,0.27361111111111114,0.06666666666666665,0.1393939393939394,0.4424242424242424
7,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.5214285714285715,0.10357142857142855,0.0375,0.10303030303030303,0.5454545454545454,0.7454545454545454
8,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.7,0.19999999999999998,0.002777777777777778,0.6,0.709090909090909,0.7575757575757575
8,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,-0.04642857142857143,-0.07857142857142857,0.5430555555555555,-0.3696969696969697,-0.06666666666666667,0.32121212121212117
1,pilot,A+B average,cross_visual_to_parietal,,,0.35535714285714287,-0.15535714285714283,,,,
1,pilot,A+B average,reverse_parietal_to_visual,,,0.48214285714285715,0.19285714285714284,,,,
1,pilot,A+B average,same_visual,,,0.3142857142857143,-0.12142857142857141,,,,
1,pilot,A+B average,within_parietal,,,0.5089285714285714,0.03749999999999999,,,,
2,validation,A+B average,cross_visual_to_parietal,,,0.5053571428571428,0.3874999999999999,,,,
2,validation,A+B average,reverse_parietal_to_visual,,,0.40714285714285714,0.2928571428571428,,,,
2,validation,A+B average,same_visual,,,0.6303571428571428,0.2446428571428571,,,,
2,validation,A+B average,within_parietal,,,0.31785714285714284,0.1625,,,,
3,validation,A+B average,cross_visual_to_parietal,,,0.24821428571428572,0.2517857142857142,,,,
3,validation,A+B average,reverse_parietal_to_visual,,,0.25,0.11785714285714283,,,,
3,validation,A+B average,same_visual,,,0.2107142857142857,0.08035714285714285,,,,
3,validation,A+B average,within_parietal,,,0.2482142857142857,0.021428571428571408,,,,
4,validation,A+B average,cross_visual_to_parietal,,,0.4446428571428572,-0.0482142857142857,,,,
4,validation,A+B average,reverse_parietal_to_visual,,,0.3267857142857143,-0.03928571428571427,,,,
4,validation,A+B average,same_visual,,,0.4232142857142857,-0.06071428571428572,,,,
4,validation,A+B average,within_parietal,,,0.3678571428571429,0.2589285714285714,,,,
5,validation,A+B average,cross_visual_to_parietal,,,0.4089285714285714,-0.06428571428571427,,,,
