subject,phase,roi,stimulus_set,task,feature_model,rsa_rho,p_greater,p_two_sided
3,heldout,nsdgeneral,A,vision,HOG,0.303142061408689,0.11666666666666667,0.23194444444444445
3,heldout,nsdgeneral,A,vision,CLIP,-0.125,0.7361111111111112,0.5652777777777778
3,heldout,nsdgeneral,A,imagery,HOG,-0.43408508201717594,0.9416666666666667,0.07222222222222222
3,heldout,nsdgeneral,A,imagery,CLIP,0.17142857142857143,0.225,0.4236111111111111
3,heldout,nsdgeneral,B,vision,HOG,0.35,0.12638888888888888,0.18611111111111112
3,heldout,nsdgeneral,B,vision,CLIP,0.04642857142857143,0.475,0.8638888888888889
3,heldout,nsdgeneral,B,imagery,HOG,-0.03571428571428571,0.5236111111111111,0.8791666666666667
3,heldout,nsdgeneral,B,imagery,CLIP,-0.175,0.7666666666666667,0.4722222222222222
3,heldout,early_visual,A,vision,HOG,0.30672954142535985,0.12777777777777777,0.2263888888888889
3,heldout,early_visual,A,vision,CLIP,0.007142857142857143,0.5083333333333333,0.9875
3,heldout,early_visual,A,imagery,HOG,-0.28699840133367005,0.8791666666666667,0.2875
3,heldout,early_visual,A,imagery,CLIP,-0.02142857142857143,0.5472222222222223,0.9236111111111112
3,heldout,early_visual,B,vision,HOG,0.4142857142857143,0.03333333333333333,0.04027777777777778
3,heldout,early_visual,B,vision,CLIP,0.07142857142857142,0.4152777777777778,0.775
3,heldout,early_visual,B,imagery,HOG,-0.18571428571428572,0.9083333333333333,0.20555555555555555
3,heldout,early_visual,B,imagery,CLIP,-0.325,0.9805555555555555,0.06111111111111111
3,heldout,higher_visual,A,vision,HOG,0.19193018089189184,0.23472222222222222,0.48055555555555557
3,heldout,higher_visual,A,vision,CLIP,-0.12142857142857143,0.7138888888888889,0.5972222222222222
3,heldout,higher_visual,A,imagery,HOG,-0.0950682204417782,0.6930555555555555,0.6777777777777778
3,heldout,higher_visual,A,imagery,CLIP,0.11785714285714285,0.30833333333333335,0.6138888888888889
3,heldout,higher_visual,B,vision,HOG,0.18214285714285713,0.14583333333333334,0.2847222222222222
3,heldout,higher_visual,B,vision,CLIP,0.04642857142857143,0.41944444444444445,0.8291666666666667
3,heldout,higher_visual,B,imagery,HOG,-0.017857142857142856,0.5486111111111112,0.9194444444444444
3,heldout,higher_visual,B,imagery,CLIP,-0.12857142857142856,0.7319444444444444,0.5305555555555556
4,heldout,nsdgeneral,A,vision,HOG,0.035874800166708756,0.45555555555555555,0.8847222222222222
4,heldout,nsdgeneral,A,vision,CLIP,-0.15,0.7527777777777778,0.49722222222222223
4,heldout,nsdgeneral,A,imagery,HOG,0.417941421942157,0.03194444444444444,0.09722222222222222
4,heldout,nsdgeneral,A,imagery,CLIP,-0.33214285714285713,0.9541666666666667,0.1
4,heldout,nsdgeneral,B,vision,HOG,-0.11785714285714285,0.7833333333333333,0.4388888888888889
4,heldout,nsdgeneral,B,vision,CLIP,-0.14285714285714285,0.7777777777777778,0.4388888888888889
4,heldout,nsdgeneral,B,imagery,HOG,0.07857142857142857,0.31527777777777777,0.6361111111111111
4,heldout,nsdgeneral,B,imagery,CLIP,-0.42857142857142855,0.9888888888888889,0.018055555555555554
4,heldout,early_visual,A,vision,HOG,0.4107664619088153,0.02638888888888889,0.075
4,heldout,early_visual,A,vision,CLIP,0.09285714285714286,0.3333333333333333,0.6347222222222222
4,heldout,early_visual,A,imagery,HOG,0.446641262075524,0.02361111111111111,0.06805555555555555
4,heldout,early_visual,A,imagery,CLIP,-0.22142857142857142,0.9027777777777778,0.20277777777777778
4,heldout,early_visual,B,vision,HOG,0.0035714285714285713,0.5013888888888889,0.9875
4,heldout,early_visual,B,vision,CLIP,-0.3821428571428571,0.9847222222222223,0.043055555555555555
4,heldout,early_visual,B,imagery,HOG,-0.09642857142857143,0.7069444444444445,0.5958333333333333
4,heldout,early_visual,B,imagery,CLIP,-0.375,0.9736111111111111,0.05277777777777778
4,heldout,higher_visual,A,vision,HOG,-0.2887921413420055,0.8694444444444445,0.25277777777777777
4,heldout,higher_visual,A,vision,CLIP,0.010714285714285714,0.4861111111111111,0.9611111111111111
4,heldout,higher_visual,A,imagery,HOG,0.4789285822255619,0.030555555555555555,0.04583333333333333
4,heldout,higher_visual,A,imagery,CLIP,-0.14285714285714285,0.7222222222222222,0.5541666666666667
4,heldout,higher_visual,B,vision,HOG,-0.17142857142857143,0.8194444444444444,0.34444444444444444
4,heldout,higher_visual,B,vision,CLIP,-0.13214285714285715,0.7236111111111111,0.5652777777777778
4,heldout,higher_visual,B,imagery,HOG,0.15714285714285714,0.1125,0.2
4,heldout,higher_visual,B,imagery,CLIP,-0.18571428571428572,0.8777777777777778,0.2875
5,heldout,nsdgeneral,A,vision,HOG,0.20807384096691078,0.2125,0.4375
5,heldout,nsdgeneral,A,vision,CLIP,0.04285714285714286,0.42916666666666664,0.8111111111111111
5,heldout,nsdgeneral,A,imagery,HOG,0.2224237610335943,0.20694444444444443,0.42777777777777776
5,heldout,nsdgeneral,A,imagery,CLIP,-0.23214285714285715,0.95,0.14305555555555555
5,heldout,nsdgeneral,B,vision,HOG,0.007142857142857143,0.5013888888888889,0.975
5,heldout,nsdgeneral,B,vision,CLIP,0.08214285714285714,0.32916666666666666,0.6611111111111111
5,heldout,nsdgeneral,B,imagery,HOG,-0.007142857142857143,0.5305555555555556,0.975
5,heldout,nsdgeneral,B,imagery,CLIP,0.075,0.3541666666666667,0.6902777777777778
5,heldout,early_visual,A,vision,HOG,0.43408508201717594,0.015277777777777777,0.07361111111111111
5,heldout,early_visual,A,vision,CLIP,0.09285714285714286,0.3194444444444444,0.6069444444444444
5,heldout,early_visual,A,imagery,HOG,0.3497793016254104,0.07083333333333333,0.12916666666666668
5,heldout,early_visual,A,imagery,CLIP,-0.2392857142857143,0.9486111111111111,0.14444444444444443
5,heldout,early_visual,B,vision,HOG,-0.017857142857142856,0.5208333333333334,0.9416666666666667
5,heldout,early_visual,B,vision,CLIP,-0.3535714285714286,0.9736111111111111,0.06527777777777778
5,heldout,early_visual,B,imagery,HOG,0.08214285714285714,0.2722222222222222,0.5541666666666667
5,heldout,early_visual,B,imagery,CLIP,-0.08928571428571429,0.6861111111111111,0.6319444444444444
5,heldout,higher_visual,A,vision,HOG,-0.09686196045011365,0.6569444444444444,0.6833333333333333
5,heldout,higher_visual,A,vision,CLIP,-0.0035714285714285713,0.4986111111111111,0.9916666666666667
5,heldout,higher_visual,A,imagery,HOG,-0.24753612115029042,0.8527777777777777,0.30694444444444446
5,heldout,higher_visual,A,imagery,CLIP,0.1,0.3277777777777778,0.6208333333333333
5,heldout,higher_visual,B,vision,HOG,0.175,0.10833333333333334,0.2152777777777778
5,heldout,higher_visual,B,vision,CLIP,-0.0035714285714285713,0.5152777777777777,0.9930555555555556
