subject,phase,roi,task,comparison,scope,rho
8,heldout,nsdgeneral,imagery,run 1/run 2,within_set,-0.10237154150197628
8,heldout,nsdgeneral,imagery,run 1/run 2,between_set,0.01778654243714691
8,heldout,nsdgeneral,imagery,run 1/run 2,block_residual,0.0985078396468646
8,heldout,early_visual,vision,odd/even repetitions,all,0.4183151729591358
8,heldout,early_visual,vision,odd/even repetitions,within_set,0.5540184453227931
8,heldout,early_visual,vision,odd/even repetitions,between_set,0.347871235721703
8,heldout,early_visual,vision,odd/even repetitions,block_residual,0.4221471332290006
8,heldout,early_visual,imagery,run 1/run 2,all,-0.020277967646388693
8,heldout,early_visual,imagery,run 1/run 2,within_set,-0.08221343873517785
8,heldout,early_visual,imagery,run 1/run 2,between_set,-0.0033915421037087846
8,heldout,early_visual,imagery,run 1/run 2,block_residual,0.08591010596608573
8,heldout,higher_visual,vision,odd/even repetitions,all,0.09126090627638614
8,heldout,higher_visual,vision,odd/even repetitions,within_set,0.13728590250329378
8,heldout,higher_visual,vision,odd/even repetitions,between_set,0.06319128869073137
8,heldout,higher_visual,vision,odd/even repetitions,block_residual,0.010109130602998334
8,heldout,higher_visual,imagery,run 1/run 2,all,0.138290244327396
8,heldout,higher_visual,imagery,run 1/run 2,within_set,-0.06086956521739129
8,heldout,higher_visual,imagery,run 1/run 2,between_set,0.13375632341593072
8,heldout,higher_visual,imagery,run 1/run 2,block_residual,0.09938741471261396
